-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
January,Monthly Average,681,872,"1,149",109.3,0.79,1.22,1.73,0.18,1.14,1.50,2.02,0.20
January,1,897,"1,001","1,113",66.3,1.12,1.44,1.70,0.13,1.54,1.75,1.98,0.12
January,2,923,"1,029","1,146",68.3,1.13,1.47,1.72,0.14,1.59,1.80,2.02,0.12
January,3,938,"1,035","1,149",72.3,1.16,1.48,1.73,0.14,1.60,1.80,2.02,0.13
January,4,929,"1,030","1,143",71.7,1.13,1.47,1.69,0.14,1.58,1.80,2.01,0.12
January,5,901,"1,006","1,128",68.9,1.12,1.43,1.64,0.14,1.53,1.75,1.98,0.12
January,6,851,960,"1,090",66.1,1.11,1.35,1.62,0.13,1.42,1.66,1.90,0.12
January,7,776,892,"1,032",71.7,1.04,1.23,1.50,0.12,1.28,1.52,1.79,0.12
January,8,712,826,998,82.5,0.93,1.13,1.41,0.12,1.18,1.40,1.70,0.12
January,9,692,800,978,75.3,0.90,1.10,1.42,0.12,1.15,1.36,1.70,0.12
January,10,691,791,954,65.0,0.91,1.10,1.38,0.11,1.16,1.35,1.65,0.10
January,11,711,796,912,56.0,0.89,1.11,1.32,0.11,1.21,1.37,1.58,0.09
January,12,721,809,906,53.7,0.90,1.13,1.33,0.11,1.21,1.39,1.59,0.09
January,13,732,823,927,55.9,0.92,1.15,1.36,0.11,1.23,1.42,1.62,0.10
January,14,748,838,948,59.2,0.91,1.17,1.40,0.12,1.26,1.44,1.66,0.10
January,15,750,848,961,61.7,0.92,1.19,1.43,0.11,1.27,1.46,1.70,0.11
January,16,761,849,968,60.6,0.94,1.18,1.42,0.11,1.29,1.46,1.68,0.10
January,17,754,832,963,56.7,0.92,1.15,1.34,0.11,1.27,1.42,1.62,0.10
January,18,710,797,924,52.7,0.83,1.09,1.27,0.10,1.19,1.35,1.54,0.09
January,19,681,766,874,53.3,0.79,1.06,1.25,0.11,1.14,1.31,1.50,0.09
January,20,687,773,876,54.6,0.80,1.08,1.29,0.11,1.15,1.33,1.54,0.10
January,21,703,792,924,57.9,0.82,1.10,1.32,0.11,1.18,1.36,1.56,0.10
January,22,727,826,"1,000",62.3,0.91,1.16,1.38,0.11,1.25,1.43,1.67,0.10
January,23,771,876,"1,006",61.6,0.98,1.25,1.52,0.12,1.33,1.52,1.79,0.11
January,24,850,943,"1,065",61.7,1.04,1.36,1.54,0.13,1.47,1.65,1.87,0.11
February,Monthly Average,669,859,"1,080",90.1,0.79,1.14,1.51,0.14,1.13,1.47,1.84,0.16
February,1,889,979,"1,056",37.0,1.11,1.33,1.46,0.08,1.53,1.69,1.80,0.07
February,2,921,"1,002","1,077",36.8,1.13,1.36,1.50,0.09,1.56,1.73,1.84,0.08
February,3,927,"1,010","1,080",36.7,1.12,1.36,1.51,0.09,1.57,1.74,1.84,0.08
February,4,914,"1,002","1,061",36.2,1.11,1.35,1.49,0.09,1.55,1.73,1.83,0.08
February,5,876,976,"1,042",39.5,1.07,1.31,1.45,0.09,1.49,1.68,1.79,0.08
February,6,791,929,996,43.6,0.95,1.23,1.38,0.09,1.35,1.58,1.71,0.08
February,7,716,857,967,53.3,0.84,1.11,1.25,0.08,1.21,1.45,1.61,0.09
February,8,680,791,944,58.8,0.79,1.02,1.17,0.08,1.13,1.33,1.54,0.09
February,9,669,767,895,51.1,0.82,1.01,1.14,0.07,1.13,1.30,1.49,0.08
February,10,693,772,872,38.2,0.85,1.02,1.14,0.07,1.17,1.32,1.46,0.06
February,11,716,782,859,29.5,0.88,1.04,1.18,0.07,1.22,1.34,1.45,0.05
February,12,744,799,875,26.4,0.93,1.07,1.17,0.06,1.27,1.37,1.48,0.05
February,13,759,820,906,28.4,0.96,1.10,1.24,0.07,1.30,1.41,1.54,0.05
February,14,755,835,930,33.2,0.97,1.12,1.25,0.07,1.31,1.43,1.59,0.06
February,15,771,848,952,34.9,0.99,1.14,1.27,0.07,1.33,1.46,1.61,0.06
February,16,785,855,957,35.0,0.99,1.14,1.27,0.07,1.34,1.47,1.62,0.06
February,17,770,846,949,38.6,0.96,1.12,1.27,0.08,1.30,1.45,1.61,0.06
February,18,732,820,917,39.6,0.91,1.07,1.19,0.07,1.26,1.39,1.54,0.06
February,19,713,780,876,34.5,0.85,1.02,1.14,0.07,1.20,1.32,1.47,0.05
February,20,700,766,856,33.8,0.85,1.02,1.13,0.07,1.19,1.31,1.45,0.05
February,21,719,782,868,34.8,0.86,1.04,1.17,0.08,1.22,1.35,1.48,0.06
February,22,744,810,898,37.4,0.89,1.09,1.21,0.08,1.27,1.40,1.53,0.06
February,23,780,857,931,34.8,0.93,1.16,1.28,0.09,1.35,1.48,1.59,0.06
February,24,834,929,990,37.7,1.03,1.26,1.44,0.10,1.45,1.61,1.70,0.07
March,Monthly Average,709,915,"1,144",93.1,0.86,1.22,1.64,0.16,1.11,1.51,1.95,0.17
March,1,965,"1,034","1,101",38.2,1.13,1.41,1.59,0.11,1.53,1.73,1.90,0.09
March,2,973,"1,057","1,129",40.6,1.16,1.43,1.61,0.12,1.54,1.76,1.90,0.09
March,3,980,"1,066","1,134",43.4,1.18,1.45,1.63,0.12,1.55,1.78,1.95,0.10
March,4,954,"1,059","1,144",43.5,1.17,1.43,1.64,0.12,1.50,1.77,1.93,0.10
March,5,904,"1,023","1,101",45.3,1.11,1.37,1.57,0.11,1.42,1.70,1.89,0.10
March,6,865,967,"1,071",48.8,1.03,1.27,1.52,0.12,1.33,1.59,1.83,0.10
March,7,810,900,"1,005",52.1,0.95,1.17,1.38,0.10,1.24,1.47,1.67,0.10
March,8,719,839,980,66.0,0.86,1.09,1.31,0.11,1.11,1.36,1.59,0.11
March,9,709,818,941,56.7,0.86,1.07,1.28,0.10,1.11,1.33,1.55,0.10
March,10,731,826,945,49.3,0.89,1.09,1.30,0.10,1.14,1.36,1.57,0.09
March,11,747,837,950,45.5,0.92,1.11,1.33,0.10,1.18,1.38,1.61,0.09
March,12,768,856,976,45.9,0.94,1.14,1.37,0.10,1.19,1.41,1.66,0.10
March,13,784,878,988,47.3,0.95,1.18,1.38,0.11,1.22,1.45,1.68,0.10
March,14,807,895,"1,007",48.7,0.98,1.20,1.41,0.12,1.25,1.48,1.71,0.10
March,15,822,906,"1,017",49.4,1.00,1.22,1.44,0.12,1.29,1.50,1.73,0.10
March,16,826,917,"1,027",50.1,1.00,1.23,1.48,0.12,1.29,1.52,1.75,0.10
March,17,821,914,"1,034",53.7,0.98,1.22,1.47,0.13,1.28,1.51,1.76,0.11
March,18,789,889,"1,011",54.9,0.93,1.18,1.41,0.12,1.22,1.46,1.71,0.10
March,19,748,852,965,53.6,0.89,1.13,1.33,0.11,1.17,1.40,1.62,0.10
March,20,744,829,944,45.8,0.89,1.10,1.30,0.10,1.16,1.37,1.58,0.09
March,21,746,834,930,42.2,0.90,1.11,1.29,0.10,1.17,1.38,1.57,0.08
March,22,777,868,955,41.3,0.95,1.17,1.35,0.10,1.21,1.44,1.63,0.09
March,23,819,921,"1,001",40.6,1.02,1.25,1.41,0.09,1.30,1.53,1.70,0.09
March,24,889,984,"1,058",38.1,1.09,1.34,1.51,0.11,1.39,1.65,1.81,0.09
April,Monthly Average,539,773,"1,033",107.6,0.84,1.18,1.58,0.15,0.99,1.37,1.79,0.17
April,1,715,877,"1,012",85.4,1.17,1.36,1.56,0.10,1.31,1.56,1.74,0.12
April,2,721,894,"1,020",88.7,1.16,1.39,1.58,0.11,1.31,1.60,1.77,0.13
April,3,711,896,"1,033",90.9,1.15,1.39,1.58,0.10,1.30,1.60,1.79,0.13
April,4,697,889,"1,027",94.3,1.15,1.38,1.58,0.10,1.28,1.59,1.78,0.13
April,5,672,865,"1,028",98.8,1.11,1.33,1.56,0.11,1.26,1.54,1.75,0.14
April,6,623,816,"1,014",102.8,0.97,1.23,1.47,0.12,1.13,1.43,1.67,0.15
April,7,563,747,983,105.5,0.87,1.11,1.40,0.12,1.03,1.30,1.58,0.15
April,8,539,710,935,94.7,0.84,1.06,1.37,0.11,0.99,1.24,1.55,0.13
April,9,560,704,908,84.6,0.87,1.05,1.30,0.10,1.01,1.23,1.48,0.11
April,10,570,705,877,80.9,0.89,1.06,1.31,0.10,1.02,1.24,1.47,0.11
April,11,569,710,870,79.8,0.91,1.08,1.32,0.09,1.03,1.26,1.48,0.11
April,12,587,720,891,78.7,0.92,1.10,1.34,0.09,1.05,1.28,1.52,0.11
April,13,580,730,900,79.9,0.94,1.12,1.33,0.09,1.07,1.30,1.53,0.11
April,14,583,737,913,81.4,0.96,1.13,1.35,0.09,1.08,1.31,1.56,0.11
April,15,603,746,926,80.8,0.97,1.15,1.40,0.10,1.10,1.33,1.57,0.11
April,16,604,750,929,82.5,0.98,1.15,1.41,0.10,1.11,1.33,1.60,0.12
April,17,574,750,928,84.7,0.92,1.14,1.40,0.10,1.05,1.33,1.57,0.12
